id,name,price,image,categoryId
1,L'avantage d'innover plus facilement,305.09,https://example.com/images/1.jpg,15
2,Le droit de louer en toute tranquilité,203.29,https://example.com/images/2.jpg,17
3,Le plaisir de louer à la pointe,1155.68,https://example.com/images/3.jpg,19
4,L'assurance de rouler sans soucis,330.15,https://example.com/images/4.jpg,8
5,Le pouvoir d'évoluer de manière sûre,333.89,https://example.com/images/5.jpg,2
6,L'avantage de concrétiser vos projets sans soucis,1441.87,https://example.com/images/6.jpg,19
7,Le droit de concrétiser vos projets avant-tout,1116.65,https://example.com/images/7.jpg,17
8,Le confort d'avancer en toute tranquilité,1317.48,https://example.com/images/8.jpg,9
9,Le confort d'avancer autrement,1407.35,https://example.com/images/9.jpg,9
10,Le plaisir d'évoluer naturellement,1754.84,https://example.com/images/10.jpg,14
11,Le pouvoir d'avancer avant-tout,934.39,https://example.com/images/11.jpg,15
12,La liberté de changer en toute tranquilité,1989.23,https://example.com/images/12.jpg,18
13,La liberté d'avancer plus facilement,766.02,https://example.com/images/13.jpg,18
14,La possibilité d'innover naturellement,633.75,https://example.com/images/14.jpg,12
15,La liberté d'évoluer plus facilement,1177.45,https://example.com/images/15.jpg,4
16,La liberté d'évoluer avant-tout,881.87,https://example.com/images/16.jpg,4
17,Le confort d'évoluer sans soucis,454.98,https://example.com/images/17.jpg,2
18,La possibilité de concrétiser vos projets à la pointe,1989.11,https://example.com/images/18.jpg,14
19,L'art de louer en toute tranquilité,1067.37,https://example.com/images/19.jpg,17
20,Le pouvoir de concrétiser vos projets plus rapidement,1708.99,https://example.com/images/20.jpg,9
21,Le plaisir d'innover de manière efficace,149.94,https://example.com/images/21.jpg,11
22,Le droit de rouler à l'état pur,1072.63,https://example.com/images/22.jpg,10
23,Le confort de louer de manière sûre,1792.38,https://example.com/images/23.jpg,1
24,Le pouvoir d'avancer autrement,796.61,https://example.com/images/24.jpg,1
25,Le droit d'avancer à l'état pur,791.15,https://example.com/images/25.jpg,13
26,L'avantage de rouler sans soucis,274.49,https://example.com/images/26.jpg,2
27,Le droit d'avancer de manière sûre,1170.68,https://example.com/images/27.jpg,16
28,L'assurance d'évoluer naturellement,244.35,https://example.com/images/28.jpg,15
29,Le droit de concrétiser vos projets naturellement,1341.76,https://example.com/images/29.jpg,11
30,Le confort d'atteindre vos buts de manière sûre,240.34,https://example.com/images/30.jpg,4
31,L'art de rouler plus rapidement,494.94,https://example.com/images/31.jpg,7
32,Le plaisir d'atteindre vos buts avant-tout,1793.31,https://example.com/images/32.jpg,1
33,L'avantage de concrétiser vos projets de manière sûre,47.5,https://example.com/images/33.jpg,15
34,Le confort d'avancer à la pointe,813.77,https://example.com/images/34.jpg,12
35,L'art d'atteindre vos buts avant-tout,1417.54,https://example.com/images/35.jpg,13
36,La liberté d'innover autrement,1865.18,https://example.com/images/36.jpg,14
37,L'assurance d'évoluer de manière efficace,1610.17,https://example.com/images/37.jpg,8
38,Le pouvoir d'atteindre vos buts de manière efficace,1507.66,https://example.com/images/38.jpg,20
39,La possibilité de changer naturellement,1558.8,https://example.com/images/39.jpg,10
40,Le pouvoir d'évoluer en toute tranquilité,855.6,https://example.com/images/40.jpg,16
41,Le plaisir d'innover à l'état pur,820.5,https://example.com/images/41.jpg,14
42,Le plaisir de concrétiser vos projets plus rapidement,68.12,https://example.com/images/42.jpg,8
43,Le droit d'avancer de manière efficace,832.56,https://example.com/images/43.jpg,10
44,La possibilité de concrétiser vos projets de manière efficace,961.07,https://example.com/images/44.jpg,20
45,Le pouvoir de concrétiser vos projets à la pointe,1437.23,https://example.com/images/45.jpg,5
46,L'art de louer autrement,1600.18,https://example.com/images/46.jpg,17
47,Le confort de concrétiser vos projets à la pointe,28.81,https://example.com/images/47.jpg,8
48,Le confort de rouler plus rapidement,441.4,https://example.com/images/48.jpg,6
49,La possibilité de rouler plus rapidement,503.54,https://example.com/images/49.jpg,14
50,Le confort de concrétiser vos projets à la pointe,994.54,https://example.com/images/50.jpg,11
51,Le confort de louer autrement,78.83,https://example.com/images/51.jpg,1
52,L'avantage de concrétiser vos projets de manière sûre,1787.11,https://example.com/images/52.jpg,4
53,La possibilité d'atteindre vos buts plus rapidement,541.36,https://example.com/images/53.jpg,13
54,L'art de changer à sa source,760.5,https://example.com/images/54.jpg,6
55,L'art de rouler de manière sûre,338.61,https://example.com/images/55.jpg,13
56,La possibilité de concrétiser vos projets de manière sûre,1331.83,https://example.com/images/56.jpg,8
57,L'avantage d'atteindre vos buts naturellement,1034.46,https://example.com/images/57.jpg,20
58,La possibilité de concrétiser vos projets à la pointe,1638.66,https://example.com/images/58.jpg,3
59,Le confort d'atteindre vos buts à la pointe,616.91,https://example.com/images/59.jpg,18
60,Le confort de rouler de manière sûre,1293.92,https://example.com/images/60.jpg,8
61,La liberté de rouler à sa source,1353.36,https://example.com/images/61.jpg,12
62,Le pouvoir de changer à l'état pur,916.19,https://example.com/images/62.jpg,8
63,La liberté de rouler naturellement,870.4,https://example.com/images/63.jpg,4
64,La possibilité de louer plus rapidement,1939.36,https://example.com/images/64.jpg,5
65,Le plaisir d'atteindre vos buts autrement,1849.37,https://example.com/images/65.jpg,17
66,Le droit d'innover autrement,15.06,https://example.com/images/66.jpg,7
67,Le pouvoir d'avancer de manière efficace,1151.19,https://example.com/images/67.jpg,20
68,Le pouvoir d'évoluer plus facilement,290.21,https://example.com/images/68.jpg,11
69,Le droit d'avancer en toute tranquilité,818.02,https://example.com/images/69.jpg,18
70,La liberté d'innover plus rapidement,1329.51,https://example.com/images/70.jpg,18
71,Le plaisir de changer à l'état pur,1622.92,https://example.com/images/71.jpg,8
72,Le plaisir d'avancer avant-tout,937.2,https://example.com/images/72.jpg,4
73,Le droit de changer plus rapidement,1965.97,https://example.com/images/73.jpg,15
74,Le droit de changer plus facilement,1772.96,https://example.com/images/74.jpg,5
75,L'avantage de louer de manière sûre,486.91,https://example.com/images/75.jpg,4
76,L'avantage de rouler de manière sûre,12.73,https://example.com/images/76.jpg,6
77,Le droit d'évoluer plus facilement,1950.73,https://example.com/images/77.jpg,5
78,L'avantage de rouler à l'état pur,211.7,https://example.com/images/78.jpg,13
79,L'art d'avancer avant-tout,205.14,https://example.com/images/79.jpg,3
80,Le droit de changer à l'état pur,491.1,https://example.com/images/80.jpg,7
81,L'avantage de rouler à l'état pur,1483.97,https://example.com/images/81.jpg,16
82,L'avantage de rouler plus rapidement,86.49,https://example.com/images/82.jpg,11
83,La liberté de changer en toute tranquilité,1596.7,https://example.com/images/83.jpg,17
84,Le droit de concrétiser vos projets à l'état pur,1608.93,https://example.com/images/84.jpg,13
85,Le confort d'atteindre vos buts plus rapidement,236.3,https://example.com/images/85.jpg,13
86,La liberté de rouler de manière sûre,207.06,https://example.com/images/86.jpg,13
87,La liberté d'innover à sa source,109.17,https://example.com/images/87.jpg,5
88,Le droit de concrétiser vos projets sans soucis,1153.76,https://example.com/images/88.jpg,7
